Ticker,Accuracy
AAPL,0.4421052631578947
ABBV,0.4789473684210526
ABT,0.5052631578947369
ACN,0.5052631578947369
ADBE,0.4631578947368421
AIG,0.4263157894736842
AMD,0.4473684210526316
AMGN,0.5105263157894737
AMT,0.5
AMZN,0.4578947368421052
AVGO,0.4684210526315789
TXN,0.5526315789473685
UNH,0.531578947368421
UNP,0.4473684210526316
UPS,0.5105263157894737
USB,0.5
V,0.5157894736842106
VZ,0.4947368421052631
WFC,0.4684210526315789
WMT,0.4157894736842105
XOM,0.4894736842105263
AXP,0.4473684210526316
BA,0.4736842105263157
BAC,0.5052631578947369
BK,0.4263157894736842
BKNG,0.4684210526315789
BLK,0.4578947368421052
BMY,0.4578947368421052
BRK.B,0.4421052631578947
C,0.4684210526315789
CAT,0.4684210526315789
CHTR,0.4894736842105263
CL,0.4526315789473684
CMCSA,0.4947368421052631
COF,0.4894736842105263
COP,0.4894736842105263
COST,0.431578947368421
CRM,0.5
CSCO,0.4631578947368421
CVS,0.4842105263157895
CVX,0.531578947368421
DE,0.5052631578947369
DHR,0.5210526315789473
DIS,0.531578947368421
DOW,0.5368421052631579
DUK,0.5
EMR,0.5263157894736842
F,0.531578947368421
FDX,0.4894736842105263
GD,0.4631578947368421
GE,0.4368421052631579
GILD,0.4631578947368421
GM,0.5210526315789473
GOOG,0.4473684210526316
GOOGL,0.431578947368421
GS,0.4894736842105263
HD,0.5
HON,0.431578947368421
IBM,0.4789473684210526
INTC,0.5210526315789473
INTU,0.4631578947368421
JNJ,0.5263157894736842
JPM,0.431578947368421
KHC,0.5368421052631579
KO,0.5263157894736842
LIN,0.5736842105263158
LLY,0.5842105263157895
LMT,0.4631578947368421
LOW,0.4842105263157895
MA,0.4684210526315789
MCD,0.5263157894736842
MDLZ,0.531578947368421
MDT,0.5105263157894737
MET,0.4526315789473684
META,0.4263157894736842
MMM,0.5210526315789473
MO,0.5263157894736842
MRK,0.4947368421052631
MS,0.4473684210526316
MSFT,0.4947368421052631
NEE,0.5473684210526316
NFLX,0.4842105263157895
NKE,0.4789473684210526
NVDA,0.4473684210526316
ORCL,0.5105263157894737
PEP,0.5
PFE,0.5263157894736842
PG,0.5
PM,0.4526315789473684
PYPL,0.5263157894736842
QCOM,0.4842105263157895
RTX,0.4947368421052631
SBUX,0.5105263157894737
SCHW,0.5052631578947369
SO,0.4421052631578947
SPG,0.5052631578947369
T,0.5368421052631579
TGT,0.4947368421052631
TMO,0.4947368421052631
TMUS,0.4842105263157895
TSLA,0.5105263157894737
